Serialnumber: Y2007YEF00GL2, Testresult: Successful
"ExecutionNumberInTest";"ThreadNumber";"ExecutionNumberInThread";"ExecutionCountOfStep";"SectionId";"SectionSubId";"Id";"PluginName";"CategoryName";"CommandName";"ExternalId";"Text";"LowerLimit";"Value";"TypeOfValue";"UpperLimit";"Unit";"CompareMode";"ValidationStatus";"StatusText";"StartTime";"StepTime";"Result"
        11;1;11;0;"ALL_OPEN_AT_END";;"CLOSE_CAN_CHANNEL";"PCF";"GENERAL";"DISCONNECT";;"Close CAN Channel";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,130.3274;0.1714;"True"
    12;1;12;0;"TEST_SEQUENCE";;"VALID_SFC_READ";"TOOLS";"WRITEDATA";"DUT";;"valid_sfc_read";;"True";"CompareBool";;;"JustBool";"Valid";"Wrote info 'FALSE' with keyInContext 'IS_SFC_READ' to the DUT context.";5,134.3234;0.6024;"True"
    13;1;13;0;"TEST_SEQUENCE";;"FLAG_MES_START_FAIL";"TOOLS";"WRITEDATA";"DUT";;"FLAG_MES_START_FAIL";;"True";"CompareBool";;;"JustBool";"Valid";"Wrote info 'FALSE' with keyInContext 'MES_START_FAIL' to the DUT context.";5,134.9508;0.0558;"True"
    14;1;14;0;"TEST_SEQUENCE";;"FLAG_MES_COMPLETE_FAIL";"TOOLS";"WRITEDATA";"DUT";;"FLAG_MES_COMPLETE_FAIL";;"True";"CompareBool";;;"JustBool";"Valid";"Wrote info 'FALSE' with keyInContext 'MES_COMPLETE_FAIL' to the DUT context.";5,135.0133;0.0428;"True"
    15;1;15;0;"TEST_SEQUENCE";;"CALL_START_INIT";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"CALL_START_INIT";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'START_TEST_STEPS' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";5,135.0619;42.3823;"True"
        16;1;16;0;"START_TEST_STEPS";;"WRITE_DFM_VALUE_TO_CONTEXT";"TOOLS";"WRITEDATA";"DUT";;"WRITE_DFM_TO_CONTEXT";;"True";"CompareBool";;;"JustBool";"Valid";"Wrote info '1' with keyInContext 'DFM' to the DUT context.";5,135.3355;0.0562;"True"
        17;1;17;0;"START_TEST_STEPS";;"SET_READY_OFF";"TOOLS";"WRITEDATA";"DUT";;"Set_Ready_OFF";;"True";"CompareBool";;;"FixTrue";"Valid";"Wrote info '0' with keyInContext 'TTS' to the DUT context.";5,135.4011;0.0281;"True"
        18;1;18;0;"START_TEST_STEPS";;"SET_CAQ_STATUS";"TESTMAN";"JOB";"SET_ATTRIBUTE_PREDEFINED";;"SET_CAQ_STATUS";;"True";"CompareBool";;;"NotNullOrEmpty";"Valid";"Set key: 'CaqTestStatus' with value 'Normal'";5,135.4337;3.1620;"True"
        19;1;19;0;"START_TEST_STEPS";;"SET_LOGIN_FLAG";"TOOLS";"WRITEDATA";"DUT";;"Set Login Flag";;"True";"CompareBool";;;"NotNullOrEmpty";"Valid";"Wrote info 'False' with keyInContext 'PART_IS_LOGGED_IN' to the DUT context.";5,138.6064;0.0535;"True"
        20;1;20;0;"START_TEST_STEPS";;"SET_STATIONS_PAGE";"USERINTERFACE";"SHOW";"STATIONVIEW";;"SET_STATIONS_PAGE";;"False";"CompareBool";;;"FixTrue";"Valid";"StationId 'DEMO' not valid.";5,138.6765;1.3740;"True"
        21;1;21;0;"START_TEST_STEPS";;"CALL_OPEN_ALL_RELAYS";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"CALL_OPEN_ALL_RELAYS";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'ALL_OPEN_AC' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";5,140.1022;37.3193;"True"
            22;1;22;0;"ALL_OPEN_AC";;"SET_OUTPUT_1_OFF";"STRING";"WRITE";"TO_HARDWARE";;"SET_OUTPUT_1_OFF";;"OUTPUT OFF";"CompareString";;;"FixTrue";"Valid";"Updated text channels value.";5,140.3923;5.3156;"True"
            23;1;23;0;"ALL_OPEN_AC";;"SET_OUTPUT_2_OFF";"STRING";"WRITE";"TO_HARDWARE";;"SET_OUTPUT_2_OFF";;"OUTPUT OFF";"CompareString";;;"FixTrue";"Valid";"Updated text channels value.";5,145.7953;5.2299;"True"
            24;1;24;0;"ALL_OPEN_AC";;"DISCONNECT_DUT";"DIGITAL";"WRITE";"MULTI4";;"Disconnect DUT";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,151.0841;3.3758;"True"
            25;1;25;0;"ALL_OPEN_AC";;"OPEN_PSU_RELAYS";"DIGITAL";"WRITE";"MULTI4";;"Open PSU_Relays";;"True";"CompareBool";;;"FixTrue";"Valid";"Result is set to 'true' by FixedTrue";5,154.4818;21.3596;"True"
            26;1;26;0;"ALL_OPEN_AC";;"ALLOPEN_ON";"TSASWITCHUNIT";"SWITCH";"RESET";;"AllOpen_ON";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,175.8891;1.4797;"True"
    27;1;27;0;"TEST_SEQUENCE";;"CALL_TS_0005_RESISTANCE_MEASUREMENTS";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"CALL_TS_0005_RESISTANCE_MEASUREMENTS";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'TS_0005_RESISTANCE_MEASUREMENTS' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";5,177.4501;1,298.0646;"True"
        28;1;28;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"DISPLAY_PERFORM_TS0005";"TESTMAN";"PROMPTS";"SET_SIMPLE";;"DISPLAY_PERFORM_TS0005";;"True";"CompareBool";;;"FixTrue";"Valid";"Result is set to 'true' by FixedTrue";5,177.7767;104.4072;"True"
        29;1;29;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"SWITCH_DMM";"TSASWITCHUNIT";"SWITCH";"MULTI02";;"Switch DMM";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,282.2419;125.3054;"True"
        30;1;30;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"SET_DMM_RANGE_1K";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"Set DMM Range 1 kOhm";;"True";"CompareBool";;;"FixTrue";"Valid";"Executed section '2_WIRE_RESISTANCE' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";5,407.5794;16.5019;"True"
            31;1;31;0;"2_WIRE_RESISTANCE";;"CHECK_MODEL";"EXECUTION_ENGINE";"EXECUTION";"JUMP_BY_STRING";;"Check_Model";;"True";"CompareBool";;;"FixTrue";"Valid";"The searchstring 'KEITHLEY' was found in 'KEITHLEY' using following criteria: 'Contains' und 'CurrentCulture'. The teststep was marked as good and execution will continue with step '@NEXT'.";5,407.9396;0.1107;"True"
            32;1;32;0;"2_WIRE_RESISTANCE";;"SET_MODE_RES_KEITHLEY";"STRING";"WRITE";"TO_HARDWARE";;"Set_Mode_Resistance";;":FUNCTION:ON @%"%@RES@%"%@";"CompareString";;;"NotNullOrEmpty";"Valid";"Updated text channels value.";5,408.0609;5.3258;"True"
            33;1;33;0;"2_WIRE_RESISTANCE";;"CONCAT_RANGE";"STRING";"STANDARD_STRING_HANDLING";"CONCAT";;"Concat";;":RESISTANCE:RANGE 1000";"CompareString";;;"NotNullOrEmpty";"Valid";"Appended ':RESISTANCE:RANGE ' and '1000' to ':RESISTANCE:RANGE 1000'";5,413.4225;3.0036;"True"
            34;1;34;0;"2_WIRE_RESISTANCE";;"SET_RANGE";"STRING";"WRITE";"TO_HARDWARE";;"set_range";;":RESISTANCE:RANGE 1000";"CompareString";;;"FixTrue";"Valid";"Updated text channels value.";5,416.4440;3.4302;"True"
            35;1;35;0;"2_WIRE_RESISTANCE";;"CONCAT_NPLC";"STRING";"STANDARD_STRING_HANDLING";"CONCAT";;"Concat";;":RESISTANCE:NPLC 0.0005";"CompareString";;;"NotNullOrEmpty";"Valid";"Appended ':RESISTANCE:NPLC ' and '0.0005' to ':RESISTANCE:NPLC 0.0005'";5,419.8965;0.0839;"True"
            36;1;36;0;"2_WIRE_RESISTANCE";;"SET_NPLC";"STRING";"WRITE";"TO_HARDWARE";;"set_range";;":RESISTANCE:NPLC 0.0005";"CompareString";;;"NotNullOrEmpty";"Valid";"Updated text channels value.";5,419.9938;3.8653;"True"
            37;1;37;0;"2_WIRE_RESISTANCE";;"CHECK_MODEL_1";"EXECUTION_ENGINE";"EXECUTION";"JUMP_BY_STRING";;"Check_Model";;"True";"CompareBool";;;"NotNullOrEmpty";"Valid";"The searchstring 'KEITHLEY' was NOT found in 'KEITHLEY' using following criteria: 'ContainsNot' and 'CurrentCulture . The teststep was marked as good and execution will continue with step '@END'.";5,423.8832;0.1437;"True"
        38;1;38;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"CHECK_FOR_FRONT";"EXECUTION_ENGINE";"EXECUTION";"JUMP_BY_STRING";;"Check For Front";;"True";"CompareBool";;;"JustBool";"Valid";"The searchstring 'Front' was found in 'AUDI Front Passenger MAX+ Premium DCM' using following criteria: 'Contains' und 'CurrentCulture'. The teststep was marked as good and execution will continue with step '@NEXT'.";5,424.0871;0.0696;"True"
        39;1;39;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"KL31_X220_TO_PERIPHERAL_GND1_X218";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"KL31 (X220) to Peripheral GND 1 (X218)";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'MEASURE_RESISTANCE_BINARY' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";5,424.1625;456.5831;"True"
            40;1;40;0;"MEASURE_RESISTANCE_BINARY";;"CONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Connect Channels MuxHighHigh_X220_KL_31_2 and MuxHighLow_X218_Peripheral_GND_1";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,424.4236;82.5152;"True"
            41;1;41;0;"MEASURE_RESISTANCE_BINARY";;"MEASURE_RESISTANCE";"ANALOG";"READ";"NORMAL";;"Measure Resistance MuxHighHigh_X220_KL_31_2 to MuxHighLow_X218_Peripheral_GND_1";"0";"2.1680000000000001";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.168 <= 50. (Double)";5,506.9669;19.6635;"True"
            42;1;42;0;"MEASURE_RESISTANCE_BINARY";;"CALCULATE_ABSOLUTE_VALUE";"TOOLS";"CALC";"FORMULA2_NEW";"0005.020";"Calculate Absolute Value MuxHighHigh_X220_KL_31_2 to MuxHighLow_X218_Peripheral_GND_1";"0";"2.1680000000000001";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.168 <= 50. (Double)";5,526.6643;352.2192;"True"
            43;1;43;0;"MEASURE_RESISTANCE_BINARY";;"DISCONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Disconnect Channels MuxHighHigh_X220_KL_31_2 and MuxHighLow_X218_Peripheral_GND_1";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,878.9348;1.7399;"True"
        44;1;44;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"KL31_X220_TO_PERIPHERAL_GND_2_X405";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"KL31 (X220) TO PERIPHERAL GND 2 (X405)";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'MEASURE_RESISTANCE_BINARY' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";5,880.7541;57.2314;"True"
            45;1;45;0;"MEASURE_RESISTANCE_BINARY";;"CONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Connect Channels MuxHighHigh_X220_KL_31_2 and MuxHighLow_X405_Peripheral_Ground_2";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,881.0504;41.6925;"True"
            46;1;46;0;"MEASURE_RESISTANCE_BINARY";;"MEASURE_RESISTANCE";"ANALOG";"READ";"NORMAL";;"Measure Resistance MuxHighHigh_X220_KL_31_2 to MuxHighLow_X405_Peripheral_Ground_2";"0";"2.1564269999999999";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.156427 <= 50. (Double)";5,922.7803;7.1251;"True"
            47;1;47;0;"MEASURE_RESISTANCE_BINARY";;"CALCULATE_ABSOLUTE_VALUE";"TOOLS";"CALC";"FORMULA2_NEW";"0005.030";"Calculate Absolute Value MuxHighHigh_X220_KL_31_2 to MuxHighLow_X405_Peripheral_Ground_2";"0";"2.1564269999999999";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.156427 <= 50. (Double)";5,929.9478;0.1571;"True"
            48;1;48;0;"MEASURE_RESISTANCE_BINARY";;"DISCONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Disconnect Channels MuxHighHigh_X220_KL_31_2 and MuxHighLow_X405_Peripheral_Ground_2";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,930.1187;7.7761;"True"
        49;1;49;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"KL31_X220_TO_PERIPHERAL_ILLU_GND_3_X410";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"KL31 (X220) TO PERIPHERAL/ILLU GND 3 (X410)";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'MEASURE_RESISTANCE_BINARY' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";5,937.9943;90.6755;"True"
            50;1;50;0;"MEASURE_RESISTANCE_BINARY";;"CONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Connect Channels MuxHighHigh_X220_KL_31_1 and MuxHighLow_X410_Peripheral_GND_3";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";5,938.2982;81.8182;"True"
            51;1;51;0;"MEASURE_RESISTANCE_BINARY";;"MEASURE_RESISTANCE";"ANALOG";"READ";"NORMAL";;"Measure Resistance MuxHighHigh_X220_KL_31_1 to MuxHighLow_X410_Peripheral_GND_3";"0";"2.0595159999999999";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.059516 <= 50. (Double)";6,020.1543;6.5668;"True"
            52;1;52;0;"MEASURE_RESISTANCE_BINARY";;"CALCULATE_ABSOLUTE_VALUE";"TOOLS";"CALC";"FORMULA2_NEW";"0005.040";"Calculate Absolute Value MuxHighHigh_X220_KL_31_1 to MuxHighLow_X410_Peripheral_GND_3";"0";"2.0595159999999999";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.059516 <= 50. (Double)";6,026.7618;0.1468;"True"
            53;1;53;0;"MEASURE_RESISTANCE_BINARY";;"DISCONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Disconnect Channels MuxHighHigh_X220_KL_31_1 and MuxHighLow_X410_Peripheral_GND_3";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";6,026.9193;1.6845;"True"
        54;1;54;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"KL31_X220_TO_MIR_HEAT_GND_X303";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"KL31 (X220) TO MIR HEAT GND (X303)";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'MEASURE_RESISTANCE_BINARY' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";6,028.6775;51.4642;"True"
            55;1;55;0;"MEASURE_RESISTANCE_BINARY";;"CONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Connect Channels MuxHighHigh_X220_KL_31_1 and MuxHighLow_X303_Mirror_Heat_GND";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";6,028.9702;42.8469;"True"
            56;1;56;0;"MEASURE_RESISTANCE_BINARY";;"MEASURE_RESISTANCE";"ANALOG";"READ";"NORMAL";;"Measure Resistance MuxHighHigh_X220_KL_31_1 to MuxHighLow_X303_Mirror_Heat_GND";"0";"2.1568480000000001";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.156848 <= 50. (Double)";6,071.8465;6.3754;"True"
            57;1;57;0;"MEASURE_RESISTANCE_BINARY";;"CALCULATE_ABSOLUTE_VALUE";"TOOLS";"CALC";"FORMULA2_NEW";"0005.060";"Calculate Absolute Value MuxHighHigh_X220_KL_31_1 to MuxHighLow_X303_Mirror_Heat_GND";"0";"2.1568480000000001";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.156848 <= 50. (Double)";6,078.2443;0.1441;"True"
            58;1;58;0;"MEASURE_RESISTANCE_BINARY";;"DISCONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Disconnect Channels MuxHighHigh_X220_KL_31_1 and MuxHighLow_X303_Mirror_Heat_GND";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";6,078.3964;1.6832;"True"
        59;1;59;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"DOORHANDLE_OUTSIDE_SWITCH_X202_TO_DOORHANDLE_INSIDE_SWITCH_X402";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"DOORHANDLE OUTSIDE SWITCH (X202) TO DOORHANDLE INSIDE SWITCH (X402)";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'MEASURE_RESISTANCE_BINARY' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";6,080.1483;96.7279;"True"
            60;1;60;0;"MEASURE_RESISTANCE_BINARY";;"CONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Connect Channels MuxHighHigh_X202_Doorhandle_Outside_Switch and MuxHighLow_X402_Doorhandle_Inside_Switch";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";6,080.4420;85.4157;"True"
            61;1;61;0;"MEASURE_RESISTANCE_BINARY";;"MEASURE_RESISTANCE";"ANALOG";"READ";"NORMAL";;"Measure Resistance MuxHighHigh_X202_Doorhandle_Outside_Switch to MuxHighLow_X402_Doorhandle_Inside_Switch";"0";"2.3193760000000001";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.319376 <= 50. (Double)";6,165.9081;8.9752;"True"
            62;1;62;0;"MEASURE_RESISTANCE_BINARY";;"CALCULATE_ABSOLUTE_VALUE";"TOOLS";"CALC";"FORMULA2_NEW";"0005.080";"Calculate Absolute Value MuxHighHigh_X202_Doorhandle_Outside_Switch to MuxHighLow_X402_Doorhandle_Inside_Switch";"0";"2.3193760000000001";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.319376 <= 50. (Double)";6,174.9266;0.1415;"True"
            63;1;63;0;"MEASURE_RESISTANCE_BINARY";;"DISCONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Disconnect Channels MuxHighHigh_X202_Doorhandle_Outside_Switch and MuxHighLow_X402_Doorhandle_Inside_Switch";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";6,175.0765;1.7113;"True"
        64;1;64;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"CHECK_FOR_MAX";"EXECUTION_ENGINE";"EXECUTION";"JUMP_BY_STRING";;"Check For Max";;"True";"CompareBool";;;"JustBool";"Valid";"The searchstring 'Max' was found in 'TSG-3Gen Psg Max+' using following criteria: 'Contains' und 'CurrentCulture'. The teststep was marked as good and execution will continue with step '@NEXT'.";6,176.8851;0.1196;"True"
        65;1;65;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"KL31_X220_TO_MIR_POTI_GND_X304";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"KL31 (X220) TO Mir Poti GND (X304)";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'MEASURE_RESISTANCE_BINARY' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";6,177.0114;56.7454;"True"
            66;1;66;0;"MEASURE_RESISTANCE_BINARY";;"CONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Connect Channels MuxHighHigh_X220_KL_31_1 and MuxHighLow_X304_Mir_Poti_GND";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";6,177.2827;41.1324;"True"
            67;1;67;0;"MEASURE_RESISTANCE_BINARY";;"MEASURE_RESISTANCE";"ANALOG";"READ";"NORMAL";;"Measure Resistance MuxHighHigh_X220_KL_31_1 to MuxHighLow_X304_Mir_Poti_GND";"0";"2.1249560000000001";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.124956 <= 50. (Double)";6,218.4509;6.3589;"True"
            68;1;68;0;"MEASURE_RESISTANCE_BINARY";;"CALCULATE_ABSOLUTE_VALUE";"TOOLS";"CALC";"FORMULA2_NEW";"0005.050";"Calculate Absolute Value MuxHighHigh_X220_KL_31_1 to MuxHighLow_X304_Mir_Poti_GND";"0";"2.1249560000000001";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.124956 <= 50. (Double)";6,224.8526;0.1459;"True"
            69;1;69;0;"MEASURE_RESISTANCE_BINARY";;"DISCONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Disconnect Channels MuxHighHigh_X220_KL_31_1 and MuxHighLow_X304_Mir_Poti_GND";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";6,225.0070;8.6566;"True"
        70;1;70;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"CHECK_FOR_MQBW";"EXECUTION_ENGINE";"EXECUTION";"JUMP_BY_STRING";;"Check_For_MQBW";;"True";"CompareBool";;;"JustBool";"Valid";"The searchstring 'Yes' was NOT found in 'No' using following criteria: 'Contains' and 'OrdinalIgnoreCase . The teststep was marked as good and execution will continue with step '@NEXT'.";6,233.7666;0.1455;"True"
        71;1;71;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"CHECK_FOR_MEB";"EXECUTION_ENGINE";"EXECUTION";"JUMP_BY_STRING";;"Check_For_MEB";;"True";"CompareBool";;;"JustBool";"Valid";"The searchstring 'MEB' was NOT found in 'AUDI Front Passenger MAX+ Premium DCM' using following criteria: 'Contains' and 'OrdinalIgnoreCase . The teststep was marked as good and execution will continue with step '@NEXT'.";6,233.9197;0.0687;"True"
        72;1;72;0;"TS_0005_RESISTANCE_MEASUREMENTS";;"KL31_X220_TO_MIR_EC_DCU_OUT_X306";"EXECUTION_ENGINE";"EXECUTION";"EXECUTE";;"KL31 (X220) TO MIR EC DCU OUT(X306)";;"True";"CompareBool";;;"JustBool";"Valid";"Executed section 'MEASURE_RESISTANCE_BINARY' with SubId '' and executionmode 'Simple' and condition Exec. Next command key: '@NEXT'";6,233.9947;50.5650;"True"
            73;1;73;0;"MEASURE_RESISTANCE_BINARY";;"CONNECT_CHANNELS";"TSASWITCHUNIT";"SWITCH";"MULTI04";;"Connect Channels MuxHighHigh_X220_KL_31_1 and MuxHighLow_X306_Mirror_EC_DCU_Out";;"True";"CompareBool";;;"JustBool";"Valid";"Result is set to same as value :'True'. Evaluated by JustBool";6,234.2575;42.1838;"True"
            74;1;74;0;"MEASURE_RESISTANCE_BINARY";;"MEASURE_RESISTANCE";"ANALOG";"READ";"NORMAL";;"Measure Resistance MuxHighHigh_X220_KL_31_1 to MuxHighLow_X306_Mirror_EC_DCU_Out";"0";"2.3490099999999998";"CompareDouble";"50";"Ohm";"InLimit";"Valid";"Checked condition:  0 <= 2.34901 <= 50. (Double)";6,276.4846;6.1612;"True"
